Instruction,response
How can I add a nominee for my NRO Savings Account?,"If you hold NRO Account in single holding relationship then you can add nominee by logging into netbanking > Request > Add / Modify nominee. If you hold NRO Account in joint holding relationship, then please share DA1 form signed by all holders.You may download the form from our website (Visit www.hdfcbank.com/nri > Click on Forms Center > NRI > Service Related Forms) and you may also avail of our Mailbox facility to send your respective form."
What is a personal loan?,"A Personal Loan is a loan that can be availed for any personal purpose such as as home renovation, wedding, medical emergencies, travelling, debt repayments, bill payments and more.Unlike other loans, Personal Loan does not require any collateral or security and can be easily availed with minimum documentation.Like any other loan, you can repay Personal Loan with EMI (Equated Monthly Instalments); debited from your bank account."
What are Market Transactions?,Market transactions are transactions that are executed on the floor of the exchange. In these transactions securities are transferred from a Beneficiary Account of an investor to a Clearing Member Account of a broker to ensure delivery of securities to the stock exchange and vice versa.
What are Equity Capital Markets?,"Equity Capital Market is the right option for your public or private organisation's equity financing needs, such as initial public offerings (IPOs), follow-on public offerings (FPOs), qualified institutional placements (QIPs), rights issues, private placements, block trades, pre-IPO placements and buybacks. HDFC gives holistic solutions under a single roof that can originate, structure and execute equity financings."
What is fixed deposite?,"A Fixed Deposit is a type of investment option wherein a customer deposits a sum of money for a fixed term. The money cannot be withdrawn before the end of the chosen term. Because of this, fixed deposits offer higher interest rates than regular savings accounts and are considered a very safe investment. Fixed Deposit terms can vary from 7 days to 10 years, and the interest varies from 4 to 11 percent."
What is an RFC Fixed Deposit?,A Resident Foreign Currency (RFC) Fixed Deposit can be opened by NRIs who have returned for permanent settlement after being resident outside India for a continuous period of not less than one year. This Deposit lets the holder enjoy the flexibility of converting foreign currency deposits into Indian rupees whenever required.
Term periods of Fixed Deposit.,A Fixed Deposit can be opened for a minimum tenure of 7 days and a maximum tenure of 10 years.
What are the benefits of Personal Loan?,Features and benefits of Personal Loan.Quick eligibility check and easy disbursal.Transfer loan balance with ease.Stay protected with personal accident cover.Personal loan security; and much more
What are the benefits of a pre-approved personal loan?,"The benefits of a pre-approved personal loan are:Instant funds,Competitive interest rates,Zero documentation,Online and paperless and Flexible repayment."
What is Horticulture Loan?,"Horticulture sector encompasses wide range of crops e.g. Fruit Crop, Vegetable crop, Ornamental crop, medicinal & aromatic crop, Spices & Plantation crop. The Bank extends finance to farmers for the activities relating to establishment/maintenance of nurseries, Orchards, Plantation crops, Poly house/Green house, Hi-tech farming etc."
What is the tenure for Horticulture Loan?,The tenure for a Horticulture Loan is 5 years.
Features and Benefits of Horticulture Loan.,"The Horticulture Loan comes with features such as:Cash Credit/Over draft to meet crop production cost & expenses towards consumption, post-harvest expenses and repair & maintenance.Term Loan for investment purpose like purchase of farm implement, land development, irrigation equipment etc.Free Personal accidental insurance coverage of farmer, up to Rs. 2,00,000.Crop Insurance available for all notified crop under Prdhan Mantri Fasal Bima Yojana.Issuance of Rupay Farmer Platinum debit card for hassle free transaction"
Documents needed for Gold Loan.,"The following documents are required along with your Gold Loan application:Passport (not expired),Driving License (not expired),Voter's ID Card,Aadhaar Card issued by UIDAI,PAN (Permanent Account Number) Card (along with any of the above documents).Kindly Note: The loan is granted for agricultural / business / personal purposes. The loan amount cannot be used for the purchase of gold coins, jewels, land or other speculative purposes. Credit provided is at the absolute discretion of HDFC Bank."
What is BHIM?,BHIM (Bharat Interface for Money) is a UPI app promoted by the National Payment Corporation of India (NPCI).
What is a Credit Card?,"Credit cards are a convenient substitute for cash or cheque, and an essential component of electronic commerce and internet commerce. Credit card holders draw on a credit limit approved by the bank. Cardholders normally must pay for credit card purchases within 30 days of purchase to avoid interest and/or penalties."
How to get the best interest rate for a Fixed Deposit?,"The interest rate on Fixed Deposits varies across tenures. First, check your bank's website for the interest rates on different tenures. Sometimes, extending your tenure by even a day could earn you a higher interest rate. Pick a tenure that offers you the best Fixed Deposit interest rate."
